HEIGHT;Tinggi:
HEIGHT_TITLE;Tinggi maksimum tekstur
FIXED_SIZE;Ukuran tetap:
POWER_OF_TWO;Pangkat dua:
POWER_OF_TWO_TITLE;Ukuran tekstur pangkat dua
FIXED_SIZE_TITLE;Ukuran tekstur tetap
PADDING;Jarak:
PADDING_TITLE;Jarak antar sprite
EXTRUDE;Ekstrusi:
EXTRUDE_TITLE;Ukuran ekstrusi piksel tepi sprite
ALLOW_ROTATION;Izinkan rotasi:
ALLOW_ROTATION_TITLE;Izinkan rotasi sprite
ALLOW_TRIM;Izinkan trim:
ALLOW_TRIM_TITLE;Izinkan trim sprite
ALPHA_THRESHOLD;Ambang alfa:
ALPHA_THRESHOLD_TITLE;Nilai ambang alfa
TRIM_MODE;Mode trim:
TRIM_MODE_TITLE;Varian mode trim
DETECT_IDENTICAL;Deteksi gambar identik:
DETECT_IDENTICAL_TITLE;Deteksi sprite yang identik
PACKER;Packer:
PACKER_TITLE;Packer
PACKER_METHOD;Metode:
PACKER_METHOD_TITLE;Metode packer
EXPORT;Ekspor
PLEASE_WAIT;Harap tunggu...
INVALID_SIZE_ERROR;Ukuran tidak valid. Minimal: %sx%s
NO_IMAGES_ERROR;Silakan tambahkan gambar terlebih dahulu
CLEAR_WARNING;Yakin ingin membersihkan semua gambar?
INVALID_ZIP_ERROR;File ZIP tidak valid
NO_TINIFY_KEY_ERROR;Silakan masukkan kunci TinyPNG Anda https://tinypng.com/developers
TINIFY_ERROR;Kesalahan Tinify: %s
TINIFY_ERROR_COMMON;Kesalahan Tinify...
OLD_BROWSER_MESSAGE1;Maaf, browser Anda terlalu lama untuk menjalankan aplikasi ini...
OLD_BROWSER_MESSAGE2;Silakan gunakan salah satu browser modern berikut:
ABOUT_HOMEPAGE;Beranda:
ABOUT_SOURCES;Sumber:
ABOUT_BUGS;Pelacak bug:
ABOUT_APPS;Unduh aplikasi:
ABOUT_WEB;Versi web:
ABOUT_LIBS;Library yang digunakan:
ABOUT_GULP_VERSION;Modul Gulp:
ABOUT_WEBPACK_VERSION;Plugin Webpack:
ABOUT_CONTRIBUTORS;Kontributor:
EXPORTER_ERROR;Kesalahan ekspor: %s
CUSTOM_EXPORTER_ERROR;Kesalahan template: %s
FILE_EXT;Ekstensi file:
DOCUMENTATION;dokumentasi
SAVE_CHANGES_CONFIRM;Simpan perubahan proyek?
MENU_FILE;File
MENU_FILE_PROJECT_NEW;Proyek baru
MENU_FILE_PROJECT_LOAD;Buka proyek
MENU_FILE_PROJECT_LOAD_RECENT;Buka proyek terbaru
MENU_FILE_PROJECT_SAVE;Simpan proyek
MENU_FILE_PROJECT_SAVE_AS;Simpan proyek sebagai...
MENU_FILE_PREFERENCES_SAVE;Simpan preferensi
MENU_FILE_INSTALL_CLI;Instal CLI
MENU_FILE_EXIT;Keluar
MENU_ACTIONS;Aksi
MENU_ACTIONS_ADD_IMAGES;Tambah gambar
MENU_ACTIONS_ADD_FOLDER;Tambah folder
MENU_ACTIONS_SELECT_ALL;Pilih semua
MENU_ACTIONS_DELETE;Hapus
MENU_ACTIONS_CLEAR;Bersihkan
MENU_ACTIONS_EXPORT;Ekspor
MENU_TOOLS;Alat
MENU_TOOLS_SPLITTER;Pisahkan sheet
MENU_LANGUAGE;Bahasa
MENU_HELP;Bantuan
MENU_HELP_ABOUT;Tentang
UPDATER_TITLE;Versi baru tersedia: %s
CLOSE;Tutup
INSTALL;Instal
SKIP_VERSION;Lewati
SKIP_VERSION_CONFIRM;Yakin ingin melewati versi ini dan tidak menampilkannya lagi?
CONTEXT_MENU_UNDO;Urungkan
CONTEXT_MENU_REDO;Ulangi
CONTEXT_MENU_CUT;Potong
CONTEXT_MENU_COPY;Salin
CONTEXT_MENU_PASTE;Tempel
CONTEXT_MENU_DELETE;Hapus
CONTEXT_MENU_SELECT_ALL;Pilih semua
SPLIT;Pisahkan
SELECT_TEXTURE;Tekstur
SELECT_DATA_FILE;File data
SPLITTER;Pisahkan sheet
SPLITTER_ERROR_NO_FRAMES;Sprite tidak ditemukan. Kemungkinan format atlas tidak benar.
HOLD_TRIM;Pertahankan trim:
